iter	MultiClass
138	0.9932681643
139	0.9927416709
140	0.9923437687
141	0.9916785884
142	0.9907711316
143	0.9901010915
144	0.9898064409
145	0.9889593083
146	0.9881523727
147	0.9874943414
148	0.9866514027
149	0.9857817721
150	0.9851953067
151	0.9845010854
152	0.9839077502
153	0.9834897185
154	0.9830872332
155	0.9822840571
156	0.9814959481
157	0.9809797895
158	0.9803015082
159	0.9798552967
160	0.9791171692
161	0.9785313264
162	0.9778389964
163	0.9774627651
164	0.9768306924
165	0.9760765729
166	0.9754105428
167	0.97483869
168	0.9743178409
169	0.973412314
170	0.9729771282
171	0.9725284272
172	0.9721515124
173	0.9717551831
174	0.9711093066
175	0.9705039754
176	0.9698699129
177	0.9695093239
178	0.9687900979
179	0.9682326057
180	0.9677889841
181	0.9669389667
182	0.9663020606
183	0.9658518154
184	0.9653401354
185	0.9646258456
186	0.9639313028
187	0.9630798859
188	0.9626226768
189	0.9619713084
190	0.961300411
191	0.9607234492
192	0.9599143623
193	0.9590883659
194	0.9584605253
195	0.9578717591
196	0.9574355464
197	0.9567691869
198	0.9564433638
199	0.9560829525
200	0.955420469
201	0.9550348753
202	0.9545050262
203	0.9542201997
204	0.9537591115
205	0.9528783499
206	0.9524966057
207	0.9517655595
208	0.9514520323
209	0.9507067077
210	0.9501814963
211	0.9497113255
212	0.9489536693
213	0.9482877256
214	0.9478441779
215	0.9471198594
216	0.9466270068
217	0.9455374267
218	0.9450122107
219	0.9442286274
220	0.9439106974
221	0.9435039308
222	0.9430078109
223	0.9423716301
224	0.9416977787
225	0.9413631188
226	0.9406476172
227	0.9401626449
228	0.9397084906
229	0.9389420624
230	0.9383080702
231	0.9378958285
232	0.9375232565
233	0.9367427131
234	0.9363411678
235	0.936024557
236	0.9355276409
237	0.9349928963
238	0.9342671635
239	0.9334935572
240	0.9327095516
241	0.9323412607
242	0.9319005732
243	0.9314012449
244	0.9307948424
245	0.9302084478
246	0.9294503143
247	0.9287202167
248	0.9283548227
249	0.9278962753
250	0.9272233429
251	0.9266641729
252	0.9260756901
253	0.9256524205
254	0.9250727852
255	0.9247196532
256	0.9240340392
257	0.9236144958
258	0.9231492556
259	0.9227114281
260	0.9221484893
261	0.921288711
262	0.9205857161
263	0.9202157952
264	0.9196310375
265	0.9188933942
266	0.9184787477
267	0.9179482215
268	0.9175431823
269	0.916945333
270	0.9165542063
271	0.9159943861
272	0.9152584706
273	0.9147011591
274	0.914019175
275	0.913536641
276	0.9129765964
277	0.9124101179
278	0.9116330559
279	0.9109338143
280	0.9106112172
281	0.9100364783
282	0.9093301306
283	0.9089574662
284	0.9083796735
285	0.9078131748
286	0.9072411985
287	0.9065596109
288	0.9060800216
289	0.9055220046
290	0.904738517
291	0.9040020124
292	0.9034093699
293	0.9031106178
294	0.9027264148
295	0.9023381394
296	0.9017745569
297	0.9011972215
298	0.9006052491
299	0.8996487899
300	0.8990608092
301	0.898503591
302	0.8980282696
303	0.8976368798
304	0.897134688
305	0.896644693
306	0.8961590336
307	0.895695055
308	0.8950578471
309	0.8945047452
310	0.8942052689
311	0.8938689989
312	0.8933923824
313	0.8928277202
314	0.8921189383
315	0.8915381588
316	0.8909156413
317	0.8901491162
318	0.8897671168
319	0.8891778732
320	0.8886335905
321	0.888074219
322	0.8874355412
323	0.8867440303
324	0.8862428744
325	0.8856612518
326	0.8849276158
327	0.8844326858
328	0.8841509817
329	0.8836946104
330	0.8831943688
331	0.8825004408
332	0.8819171862
333	0.8811323526
334	0.8807977827
335	0.8801899744
336	0.8796684386
337	0.87907692
338	0.8785484941
339	0.8780359534
340	0.8773897946
341	0.8768194579
342	0.8763924394
343	0.8758155699
344	0.8753294799
345	0.8746028878
346	0.8739340768
347	0.8734519936
348	0.8728288628
349	0.8722061668
350	0.8717256213
351	0.8711546937
352	0.8707081513
353	0.8703873046
354	0.8697959773
355	0.8691815693
356	0.8685844688
357	0.867956775
358	0.8673846348
359	0.866747392
360	0.8661423385
361	0.8655819297
362	0.8647480438
363	0.8642759341
364	0.8636978033
365	0.8628375081
366	0.8624688243
367	0.8619698091
368	0.861335011
369	0.8604958551
370	0.8599767122
371	0.8593815854
372	0.8587689649
373	0.8579305853
374	0.857182597
375	0.8563957761
376	0.8559268588
377	0.8552753449
378	0.8547359081
379	0.8541986115
380	0.8536339034
381	0.8531719309
382	0.8527263001
383	0.8520846784
384	0.8514740347
385	0.850855281
386	0.85045415
387	0.8500598864
388	0.8494954547
389	0.8491061923
390	0.8484582195
391	0.848059173
392	0.847777791
393	0.8470597015
394	0.8467101754
395	0.8462535042
396	0.8458617066
397	0.8453204774
398	0.8451016237
399	0.844444366
